,run1 1 percent augmentation                                        ,run2 1 percent augmentation                                        ,run3 1 percent augmentation                                        ,run4 1 percent augmentation                                        ,run5 1 percent augmentation                                        ,average 1 percent augmentation                                        ,run1 5 percent augmentation,run2 5 percent augmentation,run3 5 percent augmentation,run4 5 percent augmentation,run5 5 percent augmentation,average 5 percent augmentation,run1 10 percent augmentation,run2 10 percent augmentation,run3 10 percent augmentation,run4 10 percent augmentation,run5 10 percent augmentation,average run5 10 percent augmentation,run1 25 percent augmentation,run2 25 percent augmentation,run3 25 percent augmentation,run4 25 percent augmentation,run5 25 percent augmentation,average 25 percent augmentation,run1 50 percent augmentation (weighted),run2 50 percent augmentation (weighted),run3 50 percent augmentation (weighted),run4 50 percent augmentation (weighted),run5 50 percent augmentation (weighted),average 50 percent augmentation (weighted),BASELINE_AVERAGES
weighted Log-loss,1.6091,0.9817,1.2825,1.2046,1.3394,1.28346,1.4623,1.042,1.2939,1.3411,1.6664,1.36114,1.3562,1.1649,1.1886,1.258,1.3276,1.25906,1.7798,1.2297,1.8229,1.3473,2.0951,1.65496,1.27,1.0847,1.4501,1.519,2.0645,1.47766,1.407256
weighted AUC-ROC,0.4523,0.5116,0.5757,0.5395,0.4757,0.51096,0.4767,0.5559,0.5501,0.5656,0.4775,0.52516,0.468,0.5418,0.5204,0.5226,0.4805,0.50666,0.4886,0.5066,0.5631,0.4636,0.5099,0.50636,0.5094,0.5081,0.5175,0.5079,0.5016,0.5089,0.511608
weighted Precision,0.7498,0.7592,0.7808,0.766,0.7474,0.76064,0.7538,0.7748,0.7608,0.773,0.7468,0.76184,0.7551,0.7697,0.7612,0.7524,0.7512,0.75792,0.7462,0.7596,0.7694,0.7489,0.7621,0.75724,0.7505,0.7671,0.7685,0.7619,0.7518,0.75996,0.75952
weighted Recall,0.7229,0.7436,0.67,0.7414,0.665,0.70858,0.7057,0.7529,0.6593,0.6843,0.6443,0.6893,0.6929,0.7321,0.7407,0.7329,0.695,0.71872,0.6207,0.7071,0.6221,0.6929,0.6179,0.65214,0.6921,0.77,0.7079,0.6493,0.5729,0.67844,0.689436
weighted F-Score,0.7357,0.7511,0.7124,0.753,0.7008,0.7306,0.7277,0.7632,0.7007,0.7205,0.6872,0.71986,0.7205,0.7493,0.7505,0.7423,0.7204,0.7366,0.671,0.7307,0.6757,0.7183,0.6716,0.69346,0.7184,0.7685,0.7343,0.6941,0.6361,0.71028,0.71816
weighted Specificity,0.8167,0.8375,0.7133,0.8283,0.7383,0.78682,0.7892,0.8367,0.7175,0.7408,0.71,0.75884,0.77,0.8117,0.8317,0.8283,0.7767,0.80368,0.6775,0.7858,0.6575,0.7758,0.6583,0.71098,0.7733,0.8683,0.7783,0.7025,0.605,0.74548,0.76116
weighted F1-Score mayority,0.8347529813,0.8484592655,0.7874885005,0.8459574468,0.7907184293,0.8223306044,0.8213356461,0.8530161427,0.7830832196,0.8009009009,0.7738419619,0.8071979434,0.811237928,0.8385708136,0.8461212378,0.8416596105,0.8136185072,0.8304486352,0.7538247566,0.8214285714,0.748932131,0.812390925,0.7470449173,0.7779702745,0.8115435068,0.8661679135,0.8203776899,0.7744602664,0.7082926829,0.7989640082,0.8073822931
weighted F1-Score minority,0.1415929204,0.1670533643,0.2619808307,0.1955555556,0.1610017889,0.189833201,0.1659919028,0.2242152466,0.2063227953,0.2379310345,0.1672240803,0.2000735565,0.1762452107,0.213836478,0.1768707483,0.1461187215,0.1611001965,0.1751152074,0.1741835148,0.1865079365,0.2366522367,0.1535433071,0.2189781022,0.1971645236,0.1598440546,0.1827411168,0.2179732314,0.2118780096,0.2026666667,0.1969318587,0.1918236694
weighted Macro - averaged,0.4881729508,0.5077563149,0.5247346656,0.5207565012,0.4758601091,0.5060819027,0.4936637745,0.5386156947,0.4947030075,0.5194159677,0.4705330211,0.5036357499,0.4937415694,0.5262036458,0.5114959931,0.493889166,0.4873593518,0.5027819213,0.4640041357,0.503968254,0.4927921838,0.482967116,0.4830115097,0.487567399,0.4856937807,0.5244545152,0.5191754607,0.493169138,0.4554796748,0.4979479335,0.4996029813
weighted Precision minority ,0.16,0.18,0.41,0.22,0.225,0.239,0.205,0.25,0.31,0.345,0.25,0.272,0.23,0.255,0.195,0.16,0.205,0.209,0.28,0.235,0.41,0.195,0.375,0.299,0.205,0.18,0.285,0.33,0.38,0.276,0.259
